bill_id,Date,Ref. No.,Party's Name,Amount,tax,tax_amount,base_amount,tds,amount_after_tds,payment_id,Due on,Overdue
154,27-Mar-2018,300917/D/1681,BUSSAN AUTO FINANCE INDIA PVT LTD HR DEL,271.87,,,,,,,27-Mar-2018,48
155,27-Mar-2018,020218/D/1777,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,478758.1,,,,,,,27-Mar-2018,48
156,27-Mar-2018,300917/D/1734,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,85353.18,,,,,,,27-Mar-2018,48
157,27-Mar-2018,310717/D/1688,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,112.1,,,,,,,27-Mar-2018,48
158,27-Mar-2018,310717/D/1694,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,684.4,,,,,,,27-Mar-2018,48
159,27-Mar-2018,310817/D/1732,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,100213.15,,,,,,,27-Mar-2018,48
160,27-Mar-2018,300917/D/1663,The Bussan Auto Finance India Pvt.Ltd-DEL,6534.84,,,,,,,27-Mar-2018,48
161,27-Mar-2018,310717/D/1645,The Bussan Auto Finance India Pvt.Ltd-DEL,63696.4,,,,,,,27-Mar-2018,48
162,27-Mar-2018,310717/D/1661,The Bussan Auto Finance India Pvt.Ltd-DEL,12732.2,,,,,,,27-Mar-2018,48
163,27-Mar-2018,310817/D/1646,The Bussan Auto Finance India Pvt.Ltd-DEL,71007.68,,,,,,,27-Mar-2018,48
164,27-Mar-2018,310817/D/1662,The Bussan Auto Finance India Pvt.Ltd-DEL,5479.92,,,,,,,27-Mar-2018,48
165,27-Mar-2018,311017/D/1648,The Bussan Auto Finance India Pvt.Ltd-DEL,56979.84,,,,,,,27-Mar-2018,48
166,27-Mar-2018,311017/D/1664,The Bussan Auto Finance India Pvt.Ltd-DEL,4814.4,,,,,,,27-Mar-2018,48
167,28-Mar-2018,311017/D/1682,BUSSAN AUTO FINANCE INDIA PVT LTD HR DEL,249.22,,,,,,,28-Mar-2018,47
168,28-Mar-2018,311017/D/1736,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,77887.79,,,,,,,28-Mar-2018,47
169,29-Mar-2018,310717/D/1730,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,83779.29,,,,,,,29-Mar-2018,46
170,11-Apr-2018,020318/D/2037,BUSSAN AUTO FINANCE INDIA PVT LTD CREDIT TW DEL,410.64,,,,,,,11-Apr-2018,33
171,11-Apr-2018,280218/D/2038,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,80057.81,,,,,,,11-Apr-2018,33
172,11-Apr-2018,020318/D/2039,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,484897.87,,,,,,,11-Apr-2018,33
173,13-Apr-2018,1709000009,BUSSAN AUTO FINANCE INDIA PVT LTD ACCOUNTS DEL,16867.22,,,,,,,13-Apr-2018,31
174,13-Apr-2018,1709000003,BUSSAN AUTO FINANCE INDIA PVT LTD BUS AUTO FIN DEL,7263.21,,,,,,,13-Apr-2018,31
